PL_NUMBER,PL_AREA,LANDUSE,MAIN_AREA,SERVICE_AREA,CELL_SIZE_TOTAL,CELL_SIZE_MIN,CELL_SIZE_MAX,HOUSING_UNITS,BUILDING_HEIGHT,FLOORS_NUM,TOTAL_AREA,AUTHORITY,DISTRICT,SECTOR_GROUP,CONFIRMATION_YEAR,CONSTRUCTION_TYPE_GROUP
610-0197038,610-0197038-102,מגורים,975.0,300.0,2466.0,0.0,0.0,16.0,11.0,2.0,1275.0,מחוזית,דרום,חברה כללית / מעורבת,2017,חדשה
610-0197038,610-0197038-101,מגורים,975.0,300.0,2025.0,0.0,0.0,16.0,11.0,2.0,1275.0,מחוזית,דרום,חברה כללית / מעורבת,2017,חדשה
151-0392894,151-0392894-210,מגורים,960.0,180.0,2820.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-22,מגורים,4800.0,960.0,15410.0,0.0,0.0,30.0,17.0,4.0,5760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-10,מגורים,640.0,120.0,1600.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-11,מגורים,960.0,180.0,2694.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-20,מגורים,1280.0,240.0,2936.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-202,מגורים,3840.0,720.0,11552.0,0.0,0.0,24.0,17.0,4.0,4560.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-208,מגורים,1280.0,240.0,2814.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-223,מגורים,1920.0,360.0,4674.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-225,מגורים,2560.0,480.0,5882.0,0.0,0.0,16.0,17.0,4.0,3040.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-3,מגורים,3200.0,600.0,8782.0,0.0,0.0,20.0,17.0,4.0,3800.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-226,מגורים,1600.0,300.0,4104.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-181,מגורים,8800.0,60.0,21124.0,0.0,0.0,160.0,26.0,6.0,8860.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-19,מגורים,2560.0,480.0,9410.0,0.0,0.0,16.0,17.0,4.0,3040.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-2,מגורים,2560.0,480.0,6372.0,0.0,0.0,16.0,17.0,4.0,3040.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-204,מגורים,1920.0,360.0,4292.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-27,מגורים,640.0,120.0,1878.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-30,מגורים,2240.0,420.0,4018.0,0.0,0.0,14.0,17.0,4.0,2660.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-234,מגורים,1600.0,300.0,3718.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-235,מגורים,1600.0,300.0,4020.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-220,מגורים,1280.0,240.0,2800.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-18,מגורים,1600.0,300.0,5324.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-203,מגורים,1920.0,360.0,4800.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-207,מגורים,1280.0,240.0,2812.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-216,מגורים,1280.0,240.0,3228.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-23,מגורים,640.0,120.0,1346.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-237,מגורים,640.0,120.0,2416.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-24,מגורים,640.0,120.0,1688.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-25,מגורים,640.0,120.0,1284.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-221,מגורים,2240.0,420.0,5004.0,0.0,0.0,14.0,17.0,4.0,2660.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-14,מגורים,1280.0,240.0,3200.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-15,מגורים,1920.0,360.0,5630.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-16,מגורים,2560.0,480.0,6958.0,0.0,0.0,16.0,17.0,4.0,3040.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-17,מגורים,1920.0,360.0,5342.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-201,מגורים,960.0,180.0,2626.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-232,מגורים,2880.0,540.0,6360.0,0.0,0.0,18.0,17.0,4.0,3420.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-5,מגורים,640.0,120.0,2818.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-8,מגורים,640.0,120.0,2178.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-211,מגורים,1920.0,360.0,4218.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-217,מגורים,640.0,120.0,1396.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-222,מגורים,1920.0,360.0,4372.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-224,מגורים,1920.0,360.0,4714.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-227,מגורים,2240.0,420.0,5878.0,0.0,0.0,14.0,17.0,4.0,2660.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-6,מגורים,640.0,120.0,2016.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-209,מגורים,1280.0,240.0,2826.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-218,מגורים,1280.0,240.0,2806.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-13,מגורים,960.0,180.0,2974.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-212,מגורים,960.0,180.0,2106.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-215,מגורים,1280.0,240.0,2818.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-231,מגורים,1280.0,240.0,3628.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-31,מגורים,960.0,180.0,2890.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-29,מגורים,1600.0,300.0,2576.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-32,מגורים,640.0,120.0,2178.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-236,מגורים,1280.0,240.0,2926.0,0.0,0.0,8.0,17.0,4.0,1520.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-4,מגורים,960.0,180.0,4846.0,0.0,0.0,6.0,17.0,4.0,1140.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-219,מגורים,1600.0,300.0,3506.0,0.0,0.0,10.0,17.0,4.0,1900.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-12,מגורים,640.0,120.0,1600.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-228,מגורים,1920.0,360.0,4824.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-229,מגורים,3840.0,720.0,8590.0,0.0,0.0,24.0,17.0,4.0,4560.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-230,מגורים,1920.0,360.0,4650.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-26,מגורים,640.0,120.0,2384.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-9,מגורים,1920.0,360.0,6594.0,0.0,0.0,12.0,17.0,4.0,2280.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-206,מגורים,640.0,120.0,1408.0,0.0,0.0,4.0,17.0,4.0,760.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
151-0392894,151-0392894-21,מגורים,3840.0,720.0,11160.0,0.0,0.0,24.0,17.0,4.0,4560.0,מחוזית,ירושלים,חברה כללית / מעורבת,2017,התחדשות
