PL_NUMBER,PL_AREA,LANDUSE,MAIN_AREA,SERVICE_AREA,CELL_SIZE_TOTAL,CELL_SIZE_MIN,CELL_SIZE_MAX,HOUSING_UNITS,BUILDING_HEIGHT,FLOORS_NUM,TOTAL_AREA,AUTHORITY,DISTRICT,SECTOR_GROUP,CONFIRMATION_YEAR,CONSTRUCTION_TYPE_GROUP
257-0744540,257-0744540-1,מגורים,576.0,96.0,400.0,0,0,0,12.5,4,672.0,מחוזית,צפון,חברה ערבית,2021,חדשה
633-0921650,633-0921650-13,מגורים,220.0,60.0,500.0,0,0,1,10.5,2,280.0,מחוזית,דרום,חברה כללית / מעורבת,2021,חדשה
633-0921650,633-0921650-11,מגורים,240.0,60.0,599.0,0,0,1,10.5,2,300.0,מחוזית,דרום,חברה כללית / מעורבת,2021,חדשה
204-0765354,204-0765354-4,מגורים,570.4,92.0,460.0,0,0,4,14.4,4,662.4,מחוזית,צפון,חברה ערבית,2021,חדשה
204-0765354,204-0765354-1,מגורים,768.8,124.0,620.0,0,0,4,14.4,4,892.8,מחוזית,צפון,חברה ערבית,2021,חדשה
204-0765354,204-0765354-2,מגורים,620.0,100.0,500.0,0,0,4,14.4,4,720.0,מחוזית,צפון,חברה ערבית,2021,חדשה
204-0765354,204-0765354-3,מגורים,590.24,95.2,476.0,0,0,4,14.4,4,685.44,מחוזית,צפון,חברה ערבית,2021,חדשה
101-0902015,101-0902015-1,מגורים,728.0,72.0,501.0,0,0,5,12.0,4,800.0,מחוזית,ירושלים,חברה ערבית,2021,התחדשות
354-0846360,354-0846360-100,מגורים,3250.0,1000.0,1160.0,0,0,24,0.0,6,4250.0,מחוזית,חיפה,חברה ערבית,2021,חדשה
506-0380212,506-0380212-115,מגורים,15155.0,7065.0,7814.0,0,0,157,0.0,15,22220.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-108,מגורים,8155.0,3825.0,2446.0,0,0,85,0.0,16,11980.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-110,מגורים,19810.0,9270.0,6094.0,0,0,206,0.0,16,29080.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-101,מגורים,12985.0,6075.0,4025.0,0,0,135,0.0,15,19060.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-103,מגורים,15045.0,6975.0,4959.0,0,0,155,0.0,15,22020.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-112,מגורים,14015.0,6525.0,3983.0,0,0,145,0.0,16,20540.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-107,מגורים,13555.0,6345.0,3925.0,0,0,141,0.0,17,19900.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-100,מגורים,14965.0,6975.0,4687.0,0,0,155,0.0,15,21940.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
506-0380212,506-0380212-113,מגורים,18275.0,8505.0,6031.0,0,0,189,0.0,16,26780.0,מחוזית,תל-אביב,חברה כללית / מעורבת,2021,חדשה
304-0207985,304-0207985-512,מגורים,953.0,600.0,921.0,0,0,10,8.0,9,1553.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-584,מגורים,575.0,360.0,644.0,0,0,6,15.0,5,935.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-586,מגורים,647.0,360.0,652.0,0,0,6,15.0,4,1007.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-724,מגורים,618.0,360.0,640.0,0,0,6,17.0,5,978.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-611,מגורים,653.0,360.0,640.0,0,0,6,20.0,6,1013.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-739,מגורים,645.0,360.0,652.0,0,0,6,20.0,6,1005.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-615,מגורים,659.0,360.0,728.0,0,0,6,20.0,6,1019.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-617,מגורים,686.0,360.0,823.0,0,0,6,20.0,6,1046.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
304-0207985,304-0207985-741,מגורים,670.0,360.0,674.0,0,0,6,17.0,5,1030.0,מחוזית,חיפה,חברה כללית / מעורבת,2021,התחדשות
